,time,Inv C: Rep G,Inv C : Rep T,Inv C : Rep C,Inv C : Rep A,Inv isoC : Rep G,Inv isoC: Rep T,Inv isoC: Rep C,Inv isoC: Rep A,Inv isoC : Rep isoG
827,49710,19.95730706,1.775041051,1.354679803,1.586206897,6.44909688,1.851395731,2.314449918,5.58456486,20.10281056
828,49770,20.1683087,1.793103448,1.45320197,1.468801314,6.314449918,1.823481117,2.104269294,5.977832512,20.52155574
829,49830,19.70032841,2.08045977,1.742200328,1.643678161,6.855500821,1.826765189,2.055829228,5.784893268,19.88887537
830,49890,20.22495895,1.839901478,1.342364532,1.490968801,6.523809524,1.661740558,2.26683087,5.729064039,20.4333455
831,49950,19.77504105,1.951559934,1.545155993,1.79228243,6.422003284,1.687192118,2.065681445,5.61001642,20.01662814
832,50010,20.26272578,1.879310345,1.680623974,1.663382594,6.71182266,1.685550082,2.129720854,5.694581281,20.1251166
833,50070,19.06486043,1.893267652,1.459770115,1.540229885,6.614942529,1.620689655,2.19047619,5.660098522,20.76894999
834,50130,19.772578,1.770114943,1.235632184,1.346469622,6.591133005,1.660098522,2.179802956,5.901477833,19.80269295
835,50190,19.62479475,1.991789819,1.114121511,1.724958949,6.975369458,1.688834154,2.433497537,5.658456486,20.35628828
836,50250,19.88095238,1.785714286,1.481116585,1.499178982,6.587027915,1.514778325,2.281609195,6.158456486,20.1808817
837,50310,20.15681445,2.206075534,1.597701149,1.532019704,6.896551724,1.943349754,2.120689655,5.842364532,19.60599424
838,50370,19.32922824,1.730706076,1.623973727,1.714285714,6.586206897,1.856321839,2.348932677,5.990968801,20.3958308
839,50430,19.62068966,2.23316913,1.5591133,1.366174056,6.578817734,1.609195402,1.808702791,5.712643678,20.29443971
840,50490,19.81198686,1.761904762,1.527914614,1.417898194,7.033661741,1.897372742,1.930213465,5.481937603,20.70811534
841,50550,20.21182266,1.702791461,1.732348112,1.619868637,6.577175698,1.408866995,2.583743842,6.009031199,19.93754309
842,50610,19.60673235,1.908045977,1.630541872,1.293924466,6.751231527,1.477011494,2.238095238,5.952380952,19.98316908
843,50670,19.38834154,1.940065681,1.365353038,1.729885057,6.275041051,1.651888342,2.426108374,5.911330049,19.96491868
844,50730,20.01231527,1.724137931,1.540229885,1.738916256,6.538587849,1.581280788,2.126436782,5.769293924,19.74490003
845,50790,19.88341544,1.545977011,1.471264368,1.594417077,6.366995074,1.883415435,2.096059113,5.909688013,19.92841789
846,50850,19.44745484,1.86863711,1.605090312,1.362889984,6.808702791,1.677339901,2.004926108,6.066502463,20.404956
847,50910,19.93924466,1.825123153,1.462233169,1.236453202,6.859605911,1.78817734,2.405582923,5.84729064,20.30762055
848,50970,19.26847291,2.185550082,1.671592775,1.801313629,6.92364532,1.581280788,2.193760263,5.587027915,20.41712293
849,51030,20.16502463,2.052545156,1.480295567,1.903940887,6.717569787,1.657635468,2.39408867,5.903119869,20.85411851
850,51090,20.25533662,2.114121511,1.882594417,1.381773399,6.676518883,2.023809524,1.94909688,5.73316913,20.2376607
851,51150,19.72331691,1.802955665,1.497536946,1.388341544,6.966338259,1.73316913,1.994252874,5.775862069,19.60903597
852,51210,19.61412151,2.077175698,1.600164204,1.327586207,7.321018062,1.591133005,2.15270936,5.608374384,20.06225413
853,51270,20.48357964,1.73316913,1.300492611,1.528735632,6.884236453,1.78817734,1.966338259,5.619047619,19.85338849
854,51330,19.86453202,1.752052545,1.667487685,1.833333333,6.807881773,1.722495895,2.219211823,5.896551724,20.42016466
