,time,Inv C: Rep G,Inv T: Rep G,Inv G: Rep G,Inv A: Rep G,Inv C: Rep isoG,Inv T: Rep isoG,Inv G: Rep isoG,Inv A: Rep isoG
635,57150,20.34937791,2.492564199,1.344727913,0.7062963428,9.09723095,6.155586276,6.2360186,0.7180260567
636,57240,19.85924343,2.532780361,1.28440367,0.916593356,9.627581584,6.111180931,6.483180428,0.8981609484
637,57330,19.71429768,2.71878011,1.50810607,1.282727996,8.521637133,6.631477525,6.544342508,0.6903774454
638,57420,20.42897239,2.251267228,1.712538226,0.6065937749,8.837501571,6.562774915,6.53345063,0.6107829584
639,57510,20.05362155,3.001968916,1.102593105,0.8696745004,9.299149596,6.492396632,5.857316409,0.8219178082
640,57600,20.80180973,2.769050312,1.340538729,0.7641070755,8.993339198,6.324829291,6.295505006,1.017971597
641,57690,20.19354028,2.124753885,1.204809183,1.054836412,9.18604164,6.436261573,6.456369654,0.7666205856
642,57780,19.75954087,2.467429098,1.937078463,0.7967827071,8.887771773,6.473964224,6.051694525,0.7247287504
643,57870,19.35654141,2.603158644,1.35310628,1.051485066,9.100582297,6.290477986,6.793180009,0.7322692807
644,57960,20.05362155,2.494239873,1.441079134,0.9811067823,8.951447363,6.557747895,6.506639856,0.6451342633
645,58050,19.96816221,2.845293452,1.311214444,0.7858908299,9.180176784,6.562774915,6.353315739,0.8403502157
646,58140,19.86427045,2.479158812,1.685727452,1.114322818,9.371203552,6.391018391,6.189099744,0.7842151565
647,58230,20.0092162,2.564618156,1.332998199,0.853755603,8.997528382,6.485693938,6.192451091,0.759917892
648,58320,20.44153994,2.537807381,1.15453898,0.6401072431,9.091366093,6.693477441,6.127937665,0.7867286666
649,58410,20.70126932,2.521050647,1.65305182,1.012944577,8.755393574,6.745423317,6.633991035,0.6618909974
650,58500,20.28905366,2.412969712,1.463700725,1.045620209,9.176825437,6.198315948,6.53345063,0.594864061
651,58590,19.73440576,2.527753341,1.611159985,0.8143772779,8.709312555,6.277072599,6.335721168,0.609107285
652,58680,19.30040635,2.552888442,1.494700683,0.9936743329,9.332663064,6.177370031,6.008127016,0.6107829584
653,58770,19.77378409,2.380294081,1.919483893,1.095052574,9.005906749,6.520045243,6.423694022,0.6401072431
654,58860,19.51740606,2.72632064,1.482133132,0.7213774035,9.057014788,6.38850488,6.38599137,0.6342423862
655,58950,20.46835072,2.854509656,1.261782079,0.7532151984,8.979933811,6.783125969,6.510829039,0.7867286666
656,59040,19.55846006,2.698672029,1.585187047,0.9626743748,9.050312094,6.463910184,6.768882745,0.9115663357
657,59130,19.88605421,2.513510117,1.415944033,1.185538938,8.648988312,6.642369402,6.382640023,0.5755938168
658,59220,20.20862134,2.469104771,1.29948473,0.8906204181,9.02852834,6.59963973,6.654099116,0.8939717649
659,59310,20.45326966,2.454023711,1.381592728,0.7708097692,9.781743538,6.229315906,6.661639646,0.9987013531
660,59400,19.876838,2.289807716,1.647186963,0.910728499,9.205311885,6.53345063,6.377613003,0.8219178082
661,59490,20.13489171,2.698672029,1.738511164,0.8939717649,9.424825102,6.505802019,6.44463994,0.5462695321
662,59580,20.11478363,2.698672029,1.36316032,0.9660257216,8.829961041,6.671693687,6.655774789,0.8269448285
663,59670,19.57270328,2.625780235,1.371538687,0.9031879687,9.414771061,6.725315236,6.09358636,0.8085124209
664,59760,19.82070294,2.867077207,1.271836119,1.14699845,8.917933895,6.08353232,6.213397009,1.112647145
665,59850,19.66821666,2.857023166,1.529889824,0.9752419253,9.376230573,6.427883206,6.835071844,0.8059989108
666,59940,20.34854007,2.552050605,1.57680868,1.094214738,9.310041473,6.804909723,6.719450379,1.095052574
667,60030,20.02345943,2.613212685,1.195592979,0.8788907042,9.651041012,6.360018432,6.775585438,0.8973231117
668,60120,19.90113527,2.628293746,1.583511374,0.9693770684,9.09974446,6.653261279,6.359180596,0.7507016882
669,60210,20.39881027,2.707888233,1.321268485,0.6158099786,9.464203427,6.435423736,5.989694609,1.251728038
670,60300,19.64643291,2.815131331,1.484646642,0.8914582548,9.343554941,6.780612459,6.488207448,0.7507016882
671,60390,20.20945918,2.960077081,1.544970885,0.731431444,9.040258054,6.504964182,6.53093712,0.7297557706
672,60480,20.44824264,2.704536886,1.554187089,0.7297557706,8.861798835,6.23853211,6.692639605,0.617485652
673,60570,19.26689288,2.704536886,1.536592518,0.9593230279,9.609987014,6.838423191,6.287126639,0.6116207951
674,60660,19.95140547,2.584726237,1.400025135,0.9417284571,9.256419924,6.654099116,7.060449918,0.5931883876
675,60750,19.98072976,2.566293829,1.57429517,0.9375392736,9.450798039,6.654936953,6.826693477,0.7867286666
676,60840,19.97318923,2.851158309,1.590214067,0.78840434,9.221230782,6.508315529,6.931423066,0.6275396925
677,60930,20.70210716,2.597293787,1.175484898,1.13694441,9.414771061,6.721963889,6.847639395,0.9434041305
678,61020,20.02848645,2.664320724,1.560889783,1.20816053,9.255582087,6.551045201,6.401910268,0.8705123371
679,61110,19.7260274,2.337564409,1.555862762,0.8135394412,9.694608521,6.995098655,6.952368983,0.5957018977
680,61200,19.92962172,2.683590968,1.72678145,0.9626743748,9.427338612,7.066314775,6.711072012,0.5161074107
681,61290,20.18097273,2.575510033,1.503916887,1.162917347,9.648527502,6.887855557,6.763017888,0.6417829165
682,61380,20.20024297,2.519374974,1.435214277,0.78840434,9.258095597,6.680072054,6.463072347,1.061539106
683,61470,19.99413514,2.862050186,1.106782288,1.240836161,8.8860961,6.537639814,6.776423275,0.7121611998
684,61560,20.34351305,2.463239915,1.684051778,0.9878094759,9.011771606,6.442964266,6.878639353,0.7062963428
685,61650,20.20610783,2.673536928,1.291106363,1.048971555,9.162582213,6.613882954,6.80574756,0.731431444
686,61740,19.73775711,2.727996314,1.541619538,1.194755142,9.383771103,6.659126136,6.643207239,0.7247287504
687,61830,20.25972938,2.722969293,1.746051695,0.9785932722,9.080474216,6.877801516,6.959071677,0.6853504252
688,61920,19.64978426,2.430564283,1.488835826,0.6987558125,9.563068158,6.804909723,6.479829081,0.8135394412
689,62010,19.67156801,2.597293787,1.882619078,0.8948096016,9.841229944,7.199530811,6.629801852,0.8177286247
690,62100,19.99497298,2.855347493,1.450295337,0.916593356,9.331825227,6.488207448,6.87696368,0.6761342214
691,62190,20.3401617,2.810942147,1.621214025,0.8210799715,9.649365339,6.46223451,6.484856102,0.9417284571
692,62280,20.50856688,2.830212392,1.519835784,1.173809225,9.706338235,6.909639311,6.635666709,0.6350802229
693,62370,19.89024339,2.668509907,1.742700348,0.8554312764,9.260609107,6.565288425,6.709396339,0.8889447447
694,62460,20.15918897,2.567131666,1.690754472,0.9936743329,9.377906246,7.035314817,6.980855431,0.8671609903
695,62550,20.24297264,2.776590842,1.677349085,1.00959323,9.420635918,6.740396297,6.976666248,0.9836202924
696,62640,19.66402748,2.656780194,1.684051778,1.266809099,9.336852247,6.722801726,6.817477274,0.5864856939
697,62730,19.73273009,2.738050354,1.525700641,1.013782414,9.400527837,6.956558167,6.856017762,0.6124586318
